Date,Team.1,Team.2,FT
12/20/2010,Man City,Everton,2-Jan
12/26/2010,Aston Villa,Tottenham,2-Jan
12/26/2010,Blackburn,Stoke,0-2
12/26/2010,Bolton,West Brom,Feb-00
12/26/2010,Fulham,West Ham,3-Jan
12/26/2010,Man United,Sunderland,Feb-00
12/26/2010,Newcastle,Man City,3-Jan
12/26/2010,Wolves,Wigan,2-Jan
12/27/2010,Arsenal,Chelsea,1-Mar
12/28/2010,Birmingham,Man United,1-Jan
12/28/2010,Man City,Aston Villa,Apr-00
12/28/2010,Stoke,Fulham,0-2
12/28/2010,Sunderland,Blackpool,0-2
12/28/2010,Tottenham,Newcastle,Feb-00
12/28/2010,West Brom,Blackburn,3-Jan
12/28/2010,West Ham,Everton,1-Jan
12/29/2010,Chelsea,Bolton,Jan-00
12/29/2010,Liverpool,Wolves,0-1
12/29/2010,Wigan,Arsenal,2-Feb
1/1/2011,Birmingham,Arsenal,0-3
1/1/2011,Liverpool,Bolton,1-Feb
1/1/2011,Man City,Blackpool,Jan-00
1/1/2011,Stoke,Everton,Feb-00
1/1/2011,Sunderland,Blackburn,Mar-00
1/1/2011,Tottenham,Fulham,Jan-00
1/1/2011,West Brom,Man United,2-Jan
1/1/2011,West Ham,Wolves,Feb-00
1/2/2011,Chelsea,Aston Villa,3-Mar
1/2/2011,Wigan,Newcastle,0-1
1/4/2011,Blackpool,Birmingham,2-Jan
1/4/2011,Fulham,West Brom,Mar-00
1/4/2011,Man United,Stoke,1-Feb
1/5/2011,Arsenal,Man City,0-0
1/5/2011,Aston Villa,Sunderland,0-1
1/5/2011,Blackburn,Liverpool,1-Mar
1/5/2011,Bolton,Wigan,1-Jan
1/5/2011,Everton,Tottenham,1-Feb
1/5/2011,Newcastle,West Ham,May-00
1/5/2011,Wolves,Chelsea,Jan-00
1/12/2011,Blackpool,Liverpool,1-Feb
1/15/2011,Chelsea,Blackburn,Feb-00
1/15/2011,Man City,Wolves,3-Apr
1/15/2011,Stoke,Bolton,Feb-00
1/15/2011,West Brom,Blackpool,2-Mar
1/15/2011,West Ham,Arsenal,0-3
1/15/2011,Wigan,Fulham,1-Jan
1/16/2011,Birmingham,Aston Villa,1-Jan
1/16/2011,Liverpool,Everton,2-Feb
1/16/2011,Sunderland,Newcastle,1-Jan
1/16/2011,Tottenham,Man United,0-0
1/22/2011,Arsenal,Wigan,Mar-00
1/22/2011,Aston Villa,Man City,Jan-00
1/22/2011,Blackpool,Sunderland,2-Jan
1/22/2011,Everton,West Ham,2-Feb
1/22/2011,Fulham,Stoke,Feb-00
1/22/2011,Man United,Birmingham,May-00
1/22/2011,Newcastle,Tottenham,1-Jan
1/22/2011,Wolves,Liverpool,0-3
1/23/2011,Blackburn,West Brom,Feb-00
1/24/2011,Bolton,Chelsea,0-4
1/25/2011,Blackpool,Man United,3-Feb
1/25/2011,Wigan,Aston Villa,2-Jan
1/26/2011,Liverpool,Fulham,Jan-00
2/1/2011,Arsenal,Everton,1-Feb
2/1/2011,Man United,Aston Villa,1-Mar
2/1/2011,Sunderland,Chelsea,4-Feb
2/1/2011,West Brom,Wigan,2-Feb
2/2/2011,Birmingham,Man City,2-Feb
2/2/2011,Blackburn,Tottenham,0-1
2/2/2011,Blackpool,West Ham,3-Jan
2/2/2011,Bolton,Wolves,Jan-00
2/2/2011,Fulham,Newcastle,Jan-00
2/2/2011,Liverpool,Stoke,Feb-00
2/5/2011,Aston Villa,Fulham,2-Feb
2/5/2011,Everton,Blackpool,3-May
2/5/2011,Man City,West Brom,Mar-00
2/5/2011,Newcastle,Arsenal,4-Apr
2/5/2011,Stoke,Sunderland,2-Mar
2/5/2011,Tottenham,Bolton,1-Feb
2/5/2011,Wigan,Blackburn,3-Apr
2/5/2011,Wolves,Man United,1-Feb
2/6/2011,Chelsea,Liverpool,0-1
2/6/2011,West Ham,Birmingham,0-1
2/12/2011,Arsenal,Wolves,Feb-00
2/12/2011,Birmingham,Stoke,Jan-00
2/12/2011,Blackburn,Newcastle,0-0
2/12/2011,Blackpool,Aston Villa,1-Jan
2/12/2011,Liverpool,Wigan,1-Jan
2/12/2011,Man United,Man City,1-Feb
2/12/2011,Sunderland,Tottenham,2-Jan
2/12/2011,West Brom,West Ham,3-Mar
2/13/2011,Bolton,Everton,Feb-00
2/14/2011,Fulham,Chelsea,0-0
2/15/2011,Birmingham,Newcastle,0-2
2/20/2011,West Brom,Wolves,1-Jan
2/22/2011,Blackpool,Tottenham,1-Mar
2/23/2011,Arsenal,Stoke,Jan-00
2/26/2011,Aston Villa,Blackburn,1-Apr
2/26/2011,Everton,Sunderland,Feb-00
2/26/2011,Newcastle,Bolton,1-Jan
2/26/2011,Wigan,Man United,0-4
2/26/2011,Wolves,Blackpool,Apr-00
2/27/2011,Man City,Fulham,1-Jan
2/27/2011,West Ham,Liverpool,1-Mar
2/28/2011,Stoke,West Brom,1-Jan
3/1/2011,Chelsea,Man United,1-Feb
3/5/2011,Arsenal,Sunderland,0-0
3/5/2011,Birmingham,West Brom,3-Jan
3/5/2011,Bolton,Aston Villa,2-Mar
3/5/2011,Fulham,Blackburn,2-Mar
3/5/2011,Man City,Wigan,Jan-00
3/5/2011,Newcastle,Everton,2-Jan
3/5/2011,West Ham,Stoke,Mar-00
3/6/2011,Liverpool,Man United,1-Mar
3/6/2011,Wolves,Tottenham,3-Mar
3/7/2011,Blackpool,Chelsea,3-Jan
3/9/2011,Everton,Birmingham,1-Jan
3/19/2011,Aston Villa,Wolves,0-1
3/19/2011,Blackburn,Blackpool,2-Feb
3/19/2011,Everton,Fulham,1-Feb
3/19/2011,Man United,Bolton,Jan-00
3/19/2011,Stoke,Newcastle,Apr-00
3/19/2011,Tottenham,West Ham,0-0
3/19/2011,West Brom,Arsenal,2-Feb
3/19/2011,Wigan,Birmingham,1-Feb
3/20/2011,Chelsea,Man City,Feb-00
3/20/2011,Sunderland,Liverpool,0-2
4/2/2011,Arsenal,Blackburn,0-0
4/2/2011,Birmingham,Bolton,1-Feb
4/2/2011,Everton,Aston Villa,2-Feb
4/2/2011,Newcastle,Wolves,1-Apr
4/2/2011,Stoke,Chelsea,1-Jan
4/2/2011,West Brom,Liverpool,1-Feb
4/2/2011,West Ham,Man United,4-Feb
4/2/2011,Wigan,Tottenham,0-0
4/3/2011,Fulham,Blackpool,Mar-00
4/3/2011,Man City,Sunderland,May-00
4/9/2011,Blackburn,Birmingham,1-Jan
4/9/2011,Bolton,West Ham,Mar-00
4/9/2011,Chelsea,Wigan,Jan-00
4/9/2011,Man United,Fulham,Feb-00
4/9/2011,Sunderland,West Brom,3-Feb
4/9/2011,Tottenham,Stoke,2-Mar
4/9/2011,Wolves,Everton,0-3
4/10/2011,Aston Villa,Newcastle,Jan-00
4/10/2011,Blackpool,Arsenal,3-Jan
4/11/2011,Liverpool,Man City,Mar-00
4/16/2011,Birmingham,Sunderland,Feb-00
4/16/2011,Blackpool,Wigan,3-Jan
4/16/2011,Everton,Blackburn,Feb-00
4/16/2011,West Brom,Chelsea,3-Jan
4/16/2011,West Ham,Aston Villa,2-Jan
4/17/2011,Arsenal,Liverpool,1-Jan
4/19/2011,Newcastle,Man United,0-0
4/20/2011,Chelsea,Birmingham,1-Mar
4/20/2011,Tottenham,Arsenal,3-Mar
4/23/2011,Aston Villa,Stoke,1-Jan
4/23/2011,Blackpool,Newcastle,1-Jan
4/23/2011,Chelsea,West Ham,Mar-00
4/23/2011,Liverpool,Birmingham,May-00
4/23/2011,Man United,Everton,Jan-00
4/23/2011,Sunderland,Wigan,2-Apr
4/23/2011,Tottenham,West Brom,2-Feb
4/23/2011,Wolves,Fulham,1-Jan
4/24/2011,Bolton,Arsenal,1-Feb
4/25/2011,Blackburn,Man City,0-1
4/26/2011,Stoke,Wolves,Mar-00
4/27/2011,Fulham,Bolton,Mar-00
4/30/2011,Blackburn,Bolton,Jan-00
4/30/2011,Blackpool,Stoke,0-0
4/30/2011,Chelsea,Tottenham,1-Feb
4/30/2011,Sunderland,Fulham,0-3
4/30/2011,West Brom,Aston Villa,1-Feb
4/30/2011,Wigan,Everton,1-Jan
5/1/2011,Arsenal,Man United,Jan-00
5/1/2011,Birmingham,Wolves,1-Jan
5/1/2011,Liverpool,Newcastle,Mar-00
5/1/2011,Man City,West Ham,1-Feb
5/7/2011,Aston Villa,Wigan,1-Jan
5/7/2011,Bolton,Sunderland,2-Jan
5/7/2011,Everton,Man City,1-Feb
5/7/2011,Newcastle,Birmingham,1-Feb
5/7/2011,Tottenham,Blackpool,1-Jan
5/7/2011,West Ham,Blackburn,1-Jan
5/8/2011,Man United,Chelsea,1-Feb
5/8/2011,Stoke,Arsenal,1-Mar
5/8/2011,Wolves,West Brom,1-Mar
5/9/2011,Fulham,Liverpool,5-Feb
5/10/2011,Man City,Tottenham,Jan-00
5/14/2011,Blackburn,Man United,1-Jan
5/14/2011,Blackpool,Bolton,3-Apr
5/14/2011,Sunderland,Wolves,3-Jan
5/14/2011,West Brom,Everton,Jan-00
5/15/2011,Arsenal,Aston Villa,2-Jan
5/15/2011,Birmingham,Fulham,0-2
5/15/2011,Chelsea,Newcastle,2-Feb
5/15/2011,Liverpool,Tottenham,0-2
5/15/2011,Wigan,West Ham,2-Mar
5/17/2011,Man City,Stoke,Mar-00
5/22/2011,Aston Villa,Liverpool,Jan-00
5/22/2011,Bolton,Man City,0-2
5/22/2011,Everton,Chelsea,Jan-00
5/22/2011,Fulham,Arsenal,2-Feb
5/22/2011,Man United,Blackpool,2-Apr
5/22/2011,Newcastle,West Brom,3-Mar
5/22/2011,Stoke,Wigan,0-1
5/22/2011,Tottenham,Birmingham,1-Feb
5/22/2011,West Ham,Sunderland,0-3
5/22/2011,Wolves,Blackburn,3-Feb
8/13/2011,Blackburn,Wolves,2-Jan
8/13/2011,Fulham,Aston Villa,0-0
8/13/2011,Liverpool,Sunderland,1-Jan
8/13/2011,Newcastle,Arsenal,0-0
8/13/2011,QPR,Bolton,0-4
8/13/2011,Wigan,Norwich,1-Jan
8/14/2011,Stoke,Chelsea,0-0
8/14/2011,West Brom,Man United,2-Jan
8/15/2011,Man City,Swansea,Apr-00
8/20/2011,Arsenal,Liverpool,0-2
8/20/2011,Aston Villa,Blackburn,1-Mar
8/20/2011,Chelsea,West Brom,1-Feb
8/20/2011,Everton,QPR,0-1
8/20/2011,Sunderland,Newcastle,0-1
8/20/2011,Swansea,Wigan,0-0
8/21/2011,Bolton,Man City,3-Feb
8/21/2011,Norwich,Stoke,1-Jan
8/21/2011,Wolves,Fulham,Feb-00
8/22/2011,Man United,Tottenham,Mar-00
8/27/2011,Aston Villa,Wolves,0-0
8/27/2011,Blackburn,Everton,0-1
8/27/2011,Chelsea,Norwich,1-Mar
8/27/2011,Liverpool,Bolton,1-Mar
8/27/2011,Swansea,Sunderland,0-0
8/27/2011,Wigan,QPR,Feb-00
8/28/2011,Man United,Arsenal,2-Aug
8/28/2011,Newcastle,Fulham,1-Feb
8/28/2011,Tottenham,Man City,5-Jan
8/28/2011,West Brom,Stoke,0-1
9/10/2011,Arsenal,Swansea,Jan-00
9/10/2011,Bolton,Man United,0-5
9/10/2011,Everton,Aston Villa,2-Feb
9/10/2011,Man City,Wigan,Mar-00
9/10/2011,Stoke,Liverpool,Jan-00
9/10/2011,Sunderland,Chelsea,2-Jan
9/10/2011,Wolves,Tottenham,0-2
9/11/2011,Fulham,Blackburn,1-Jan
9/11/2011,Norwich,West Brom,0-1
9/12/2011,QPR,Newcastle,0-0
9/17/2011,Aston Villa,Newcastle,1-Jan
9/17/2011,Blackburn,Arsenal,3-Apr
9/17/2011,Bolton,Norwich,2-Jan
9/17/2011,Everton,Wigan,1-Mar
9/17/2011,Swansea,West Brom,Mar-00
9/17/2011,Wolves,QPR,0-3
9/18/2011,Fulham,Man City,2-Feb
9/18/2011,Man United,Chelsea,1-Mar
9/18/2011,Sunderland,Stoke,Apr-00
9/18/2011,Tottenham,Liverpool,Apr-00
9/24/2011,Arsenal,Bolton,Mar-00
9/24/2011,Chelsea,Swansea,1-Apr
9/24/2011,Liverpool,Wolves,1-Feb
9/24/2011,Man City,Everton,Feb-00
9/24/2011,Newcastle,Blackburn,1-Mar
9/24/2011,Stoke,Man United,1-Jan
9/24/2011,West Brom,Fulham,0-0
9/24/2011,Wigan,Tottenham,2-Jan
9/25/2011,QPR,Aston Villa,1-Jan
9/26/2011,Norwich,Sunderland,1-Feb
10/1/2011,Aston Villa,Wigan,Feb-00
10/1/2011,Blackburn,Man City,0-4
10/1/2011,Everton,Liverpool,0-2
10/1/2011,Man United,Norwich,Feb-00
10/1/2011,Sunderland,West Brom,2-Feb
10/1/2011,Wolves,Newcastle,2-Jan
10/2/2011,Bolton,Chelsea,5-Jan
10/2/2011,Fulham,QPR,Jun-00
10/2/2011,Swansea,Stoke,Feb-00
10/2/2011,Tottenham,Arsenal,1-Feb
10/15/2011,Chelsea,Everton,1-Mar
10/15/2011,Liverpool,Man United,1-Jan
10/15/2011,Man City,Aston Villa,1-Apr
10/15/2011,Norwich,Swansea,1-Mar
10/15/2011,QPR,Blackburn,1-Jan
10/15/2011,Stoke,Fulham,Feb-00
10/15/2011,Wigan,Bolton,3-Jan
10/16/2011,Arsenal,Sunderland,1-Feb
10/16/2011,Newcastle,Tottenham,2-Feb
10/16/2011,West Brom,Wolves,Feb-00
10/22/2011,Aston Villa,West Brom,2-Jan
10/22/2011,Bolton,Sunderland,0-2
10/22/2011,Liverpool,Norwich,1-Jan
10/22/2011,Newcastle,Wigan,Jan-00
10/22/2011,Wolves,Swansea,2-Feb
10/23/2011,Arsenal,Stoke,1-Mar
10/23/2011,Blackburn,Tottenham,2-Jan
10/23/2011,Fulham,Everton,3-Jan
10/23/2011,Man United,Man City,6-Jan
10/23/2011,QPR,Chelsea,Jan-00
10/29/2011,Chelsea,Arsenal,5-Mar
10/29/2011,Everton,Man United,0-1
10/29/2011,Man City,Wolves,1-Mar
10/29/2011,Norwich,Blackburn,3-Mar
10/29/2011,Sunderland,Aston Villa,2-Feb
10/29/2011,Swansea,Bolton,1-Mar
10/29/2011,West Brom,Liverpool,0-2
10/29/2011,Wigan,Fulham,0-2
10/30/2011,Tottenham,QPR,1-Mar
10/31/2011,Stoke,Newcastle,3-Jan
11/5/2011,Arsenal,West Brom,Mar-00
11/5/2011,Aston Villa,Norwich,2-Mar
11/5/2011,Blackburn,Chelsea,0-1
11/5/2011,Liverpool,Swansea,0-0
11/5/2011,Man United,Sunderland,Jan-00
11/5/2011,Newcastle,Everton,1-Feb
11/5/2011,QPR,Man City,3-Feb
11/6/2011,Bolton,Stoke,May-00
11/6/2011,Fulham,Tottenham,3-Jan
11/6/2011,Wolves,Wigan,1-Mar
11/19/2011,Everton,Wolves,1-Feb
11/19/2011,Man City,Newcastle,1-Mar
11/19/2011,Norwich,Arsenal,2-Jan
11/19/2011,Stoke,QPR,3-Feb
11/19/2011,Sunderland,Fulham,0-0
11/19/2011,Swansea,Man United,0-1
11/19/2011,West Brom,Bolton,1-Feb
11/19/2011,Wigan,Blackburn,3-Mar
11/20/2011,Chelsea,Liverpool,2-Jan
11/21/2011,Tottenham,Aston Villa,Feb-00
11/26/2011,Arsenal,Fulham,1-Jan
11/26/2011,Bolton,Everton,0-2
11/26/2011,Chelsea,Wolves,Mar-00
11/26/2011,Man United,Newcastle,1-Jan
11/26/2011,Norwich,QPR,1-Feb
11/26/2011,Stoke,Blackburn,1-Mar
11/26/2011,Sunderland,Wigan,2-Jan
11/26/2011,West Brom,Tottenham,3-Jan
11/27/2011,Liverpool,Man City,1-Jan
11/27/2011,Swansea,Aston Villa,0-0
12/3/2011,Aston Villa,Man United,0-1
12/3/2011,Blackburn,Swansea,2-Apr
12/3/2011,Man City,Norwich,1-May
12/3/2011,Newcastle,Chelsea,0-3
12/3/2011,QPR,West Brom,1-Jan
12/3/2011,Tottenham,Bolton,Mar-00
12/3/2011,Wigan,Arsenal,0-4
12/4/2011,Everton,Stoke,0-1
12/4/2011,Wolves,Sunderland,1-Feb
12/5/2011,Fulham,Liverpool,Jan-00
12/10/2011,Arsenal,Everton,Jan-00
12/10/2011,Bolton,Aston Villa,2-Jan
12/10/2011,Liverpool,QPR,Jan-00
12/10/2011,Man United,Wolves,1-Apr
12/10/2011,Norwich,Newcastle,2-Apr
12/10/2011,Swansea,Fulham,Feb-00
12/10/2011,West Brom,Wigan,2-Jan
12/11/2011,Stoke,Tottenham,1-Feb
12/11/2011,Sunderland,Blackburn,1-Feb
12/12/2011,Chelsea,Man City,1-Feb
12/17/2011,Blackburn,West Brom,2-Jan
12/17/2011,Everton,Norwich,1-Jan
12/17/2011,Fulham,Bolton,Feb-00
12/17/2011,Newcastle,Swansea,0-0
12/17/2011,Wigan,Chelsea,1-Jan
12/17/2011,Wolves,Stoke,2-Jan
12/18/2011,Aston Villa,Liverpool,0-2
12/18/2011,Man City,Arsenal,Jan-00
12/18/2011,QPR,Man United,0-2
12/18/2011,Tottenham,Sunderland,Jan-00
12/20/2011,Blackburn,Bolton,2-Jan
12/20/2011,Wolves,Norwich,2-Feb
12/21/2011,Aston Villa,Arsenal,2-Jan
12/21/2011,Everton,Swansea,Jan-00
12/21/2011,Fulham,Man United,0-5
12/21/2011,Man City,Stoke,Mar-00
12/21/2011,Newcastle,West Brom,3-Feb
12/21/2011,QPR,Sunderland,3-Feb
12/21/2011,Wigan,Liverpool,0-0
12/22/2011,Tottenham,Chelsea,1-Jan
12/26/2011,Bolton,Newcastle,0-2
12/26/2011,Chelsea,Fulham,1-Jan
12/26/2011,Liverpool,Blackburn,1-Jan
12/26/2011,Man United,Wigan,May-00
12/26/2011,Stoke,Aston Villa,0-0
12/26/2011,Sunderland,Everton,1-Jan
12/26/2011,West Brom,Man City,0-0
12/27/2011,Arsenal,Wolves,1-Jan
12/27/2011,Norwich,Tottenham,0-2
12/27/2011,Swansea,QPR,1-Jan
12/30/2011,Liverpool,Newcastle,1-Mar
12/31/2011,Arsenal,QPR,Jan-00
12/31/2011,Bolton,Wolves,1-Jan
12/31/2011,Chelsea,Aston Villa,3-Jan
12/31/2011,Man United,Blackburn,3-Feb
12/31/2011,Norwich,Fulham,1-Jan
12/31/2011,Stoke,Wigan,2-Feb
12/31/2011,Swansea,Tottenham,1-Jan
1/1/2012,Sunderland,Man City,Jan-00
1/1/2012,West Brom,Everton,0-1
1/2/2012,Aston Villa,Swansea,0-2
1/2/2012,Blackburn,Stoke,2-Jan
1/2/2012,Fulham,Arsenal,1-Feb
1/2/2012,QPR,Norwich,2-Jan
1/2/2012,Wolves,Chelsea,2-Jan
1/3/2012,Man City,Liverpool,Mar-00
1/3/2012,Tottenham,West Brom,Jan-00
1/3/2012,Wigan,Sunderland,4-Jan
1/4/2012,Everton,Bolton,2-Jan
1/4/2012,Newcastle,Man United,Mar-00
1/11/2012,Tottenham,Everton,Feb-00
1/14/2012,Aston Villa,Everton,1-Jan
1/14/2012,Blackburn,Fulham,1-Mar
1/14/2012,Chelsea,Sunderland,Jan-00
1/14/2012,Liverpool,Stoke,0-0
1/14/2012,Man United,Bolton,Mar-00
1/14/2012,Tottenham,Wolves,1-Jan
1/14/2012,West Brom,Norwich,2-Jan
1/15/2012,Newcastle,QPR,Jan-00
1/15/2012,Swansea,Arsenal,2-Mar
1/16/2012,Wigan,Man City,0-1
1/21/2012,Bolton,Liverpool,1-Mar
1/21/2012,Everton,Blackburn,1-Jan
1/21/2012,Fulham,Newcastle,2-May
1/21/2012,Norwich,Chelsea,0-0
1/21/2012,QPR,Wigan,1-Mar
1/21/2012,Stoke,West Brom,2-Jan
1/21/2012,Sunderland,Swansea,Feb-00
1/21/2012,Wolves,Aston Villa,3-Feb
1/22/2012,Arsenal,Man United,2-Jan
1/22/2012,Man City,Tottenham,2-Mar
1/31/2012,Everton,Man City,Jan-00
1/31/2012,Man United,Stoke,Feb-00
1/31/2012,Swansea,Chelsea,1-Jan
1/31/2012,Tottenham,Wigan,1-Mar
1/31/2012,Wolves,Liverpool,0-3
2/1/2012,Aston Villa,QPR,2-Feb
2/1/2012,Blackburn,Newcastle,0-2
2/1/2012,Bolton,Arsenal,0-0
2/1/2012,Fulham,West Brom,1-Jan
2/1/2012,Sunderland,Norwich,Mar-00
2/4/2012,Arsenal,Blackburn,1-Jul
2/4/2012,Man City,Fulham,Mar-00
2/4/2012,Norwich,Bolton,Feb-00
2/4/2012,QPR,Wolves,2-Jan
2/4/2012,Stoke,Sunderland,0-1
2/4/2012,West Brom,Swansea,2-Jan
2/4/2012,Wigan,Everton,1-Jan
2/5/2012,Chelsea,Man United,3-Mar
2/5/2012,Newcastle,Aston Villa,1-Feb
2/6/2012,Liverpool,Tottenham,0-0
2/11/2012,Blackburn,QPR,2-Mar
2/11/2012,Bolton,Wigan,2-Jan
2/11/2012,Everton,Chelsea,Feb-00
2/11/2012,Fulham,Stoke,1-Feb
2/11/2012,Man United,Liverpool,1-Feb
2/11/2012,Sunderland,Arsenal,2-Jan
2/11/2012,Swansea,Norwich,3-Feb
2/11/2012,Tottenham,Newcastle,May-00
2/12/2012,Aston Villa,Man City,0-1
2/12/2012,Wolves,West Brom,5-Jan
2/25/2012,Chelsea,Bolton,Mar-00
2/25/2012,Man City,Blackburn,Mar-00
2/25/2012,Newcastle,Wolves,2-Feb
2/25/2012,QPR,Fulham,0-1
2/25/2012,West Brom,Sunderland,Apr-00
2/25/2012,Wigan,Aston Villa,0-0
2/26/2012,Arsenal,Tottenham,2-May
2/26/2012,Norwich,Man United,2-Jan
2/26/2012,Stoke,Swansea,Feb-00
3/3/2012,Blackburn,Aston Villa,1-Jan
3/3/2012,Liverpool,Arsenal,2-Jan
3/3/2012,Man City,Bolton,Feb-00
3/3/2012,QPR,Everton,1-Jan
3/3/2012,Stoke,Norwich,Jan-00
3/3/2012,West Brom,Chelsea,Jan-00
3/3/2012,Wigan,Swansea,0-2
3/4/2012,Fulham,Wolves,May-00
3/4/2012,Newcastle,Sunderland,1-Jan
3/4/2012,Tottenham,Man United,3-Jan
3/10/2012,Aston Villa,Fulham,Jan-00
3/10/2012,Bolton,QPR,1-Feb
3/10/2012,Chelsea,Stoke,Jan-00
3/10/2012,Everton,Tottenham,Jan-00
3/10/2012,Sunderland,Liverpool,Jan-00
3/10/2012,Wolves,Blackburn,0-2
3/11/2012,Man United,West Brom,Feb-00
3/11/2012,Norwich,Wigan,1-Jan
3/11/2012,Swansea,Man City,Jan-00
3/12/2012,Arsenal,Newcastle,1-Feb
3/13/2012,Liverpool,Everton,Mar-00
3/17/2012,Fulham,Swansea,0-3
3/17/2012,Wigan,West Brom,1-Jan
3/18/2012,Newcastle,Norwich,Jan-00
3/18/2012,Wolves,Man United,0-5
3/20/2012,Blackburn,Sunderland,Feb-00
3/21/2012,Everton,Arsenal,0-1
3/21/2012,Man City,Chelsea,1-Feb
3/21/2012,QPR,Liverpool,2-Mar
3/21/2012,Tottenham,Stoke,1-Jan
3/24/2012,Arsenal,Aston Villa,Mar-00
3/24/2012,Bolton,Blackburn,1-Feb
3/24/2012,Chelsea,Tottenham,0-0
3/24/2012,Liverpool,Wigan,2-Jan
3/24/2012,Norwich,Wolves,1-Feb
3/24/2012,Stoke,Man City,1-Jan
3/24/2012,Sunderland,QPR,1-Mar
3/24/2012,Swansea,Everton,0-2
3/25/2012,West Brom,Newcastle,3-Jan
3/26/2012,Man United,Fulham,Jan-00
3/31/2012,Aston Villa,Chelsea,4-Feb
3/31/2012,Everton,West Brom,Feb-00
3/31/2012,Fulham,Norwich,1-Feb
3/31/2012,Man City,Sunderland,3-Mar
3/31/2012,QPR,Arsenal,1-Feb
3/31/2012,Wigan,Stoke,Feb-00
3/31/2012,Wolves,Bolton,3-Feb
4/1/2012,Newcastle,Liverpool,Feb-00
4/1/2012,Tottenham,Swansea,1-Mar
4/2/2012,Blackburn,Man United,0-2
4/6/2012,Swansea,Newcastle,0-2
4/7/2012,Bolton,Fulham,0-3
4/7/2012,Chelsea,Wigan,1-Feb
4/7/2012,Liverpool,Aston Villa,1-Jan
4/7/2012,Norwich,Everton,2-Feb
4/7/2012,Stoke,Wolves,1-Feb
4/7/2012,Sunderland,Tottenham,0-0
4/7/2012,West Brom,Blackburn,Mar-00
4/8/2012,Arsenal,Man City,Jan-00
4/8/2012,Man United,QPR,Feb-00
4/9/2012,Aston Villa,Stoke,1-Jan
4/9/2012,Everton,Sunderland,Apr-00
4/9/2012,Fulham,Chelsea,1-Jan
4/9/2012,Newcastle,Bolton,Feb-00
4/9/2012,Tottenham,Norwich,2-Jan
4/10/2012,Blackburn,Liverpool,3-Feb
4/11/2012,Man City,West Brom,Apr-00
4/11/2012,QPR,Swansea,Mar-00
4/11/2012,Wigan,Man United,Jan-00
4/11/2012,Wolves,Arsenal,0-3
4/14/2012,Norwich,Man City,6-Jan
4/14/2012,Sunderland,Wolves,0-0
4/14/2012,Swansea,Blackburn,Mar-00
4/14/2012,West Brom,QPR,Jan-00
4/15/2012,Man United,Aston Villa,Apr-00
4/16/2012,Arsenal,Wigan,2-Jan
4/21/2012,Arsenal,Chelsea,0-0
4/21/2012,Aston Villa,Sunderland,0-0
4/21/2012,Blackburn,Norwich,Feb-00
4/21/2012,Bolton,Swansea,1-Jan
4/21/2012,Fulham,Wigan,1-Feb
4/21/2012,Newcastle,Stoke,Mar-00
4/21/2012,QPR,Tottenham,Jan-00
4/22/2012,Liverpool,West Brom,0-1
4/22/2012,Man United,Everton,4-Apr
4/22/2012,Wolves,Man City,0-2
4/24/2012,Aston Villa,Bolton,2-Jan
4/28/2012,Everton,Fulham,Apr-00
4/28/2012,Norwich,Liverpool,0-3
4/28/2012,Stoke,Arsenal,1-Jan
4/28/2012,Sunderland,Bolton,2-Feb
4/28/2012,Swansea,Wolves,4-Apr
4/28/2012,West Brom,Aston Villa,0-0
4/28/2012,Wigan,Newcastle,Apr-00
4/29/2012,Chelsea,QPR,1-Jun
4/29/2012,Tottenham,Blackburn,Feb-00
4/30/2012,Man City,Man United,Jan-00
5/1/2012,Liverpool,Fulham,0-1
5/1/2012,Stoke,Everton,1-Jan
5/2/2012,Bolton,Tottenham,4-Jan
5/2/2012,Chelsea,Newcastle,0-2
5/5/2012,Arsenal,Norwich,3-Mar
5/6/2012,Aston Villa,Tottenham,1-Jan
5/6/2012,Bolton,West Brom,2-Feb
5/6/2012,Fulham,Sunderland,1-Feb
5/6/2012,Man United,Swansea,Feb-00
5/6/2012,Newcastle,Man City,0-2
5/6/2012,QPR,Stoke,Jan-00
5/6/2012,Wolves,Everton,0-0
5/7/2012,Blackburn,Wigan,0-1
5/8/2012,Liverpool,Chelsea,1-Apr
5/13/2012,Chelsea,Blackburn,1-Feb
5/13/2012,Everton,Newcastle,1-Mar
5/13/2012,Man City,QPR,2-Mar
5/13/2012,Norwich,Aston Villa,Feb-00
5/13/2012,Stoke,Bolton,2-Feb
5/13/2012,Sunderland,Man United,0-1
5/13/2012,Swansea,Liverpool,Jan-00
5/13/2012,Tottenham,Fulham,Feb-00
5/13/2012,West Brom,Arsenal,3-Feb
5/13/2012,Wigan,Wolves,2-Mar
8/18/2012,Arsenal,Sunderland,0-0
8/18/2012,Fulham,Norwich,May-00
8/18/2012,Newcastle,Tottenham,1-Feb
8/18/2012,QPR,Swansea,0-5
8/18/2012,Reading,Stoke,1-Jan
8/18/2012,West Brom,Liverpool,Mar-00
8/18/2012,West Ham,Aston Villa,Jan-00
8/19/2012,Man City,Southampton,2-Mar
8/19/2012,Wigan,Chelsea,0-2
8/20/2012,Everton,Man United,Jan-00
8/22/2012,Chelsea,Reading,2-Apr
8/25/2012,Aston Villa,Everton,3-Jan
8/25/2012,Chelsea,Newcastle,Feb-00
8/25/2012,Man United,Fulham,2-Mar
